time,open,high,low,close,EMA #1,EMA #2,EMA #3,EMA #4,EMA #5
2025-08-11T14:20:00-04:00,24177,24178,24168.25,24171.25,24178.938831185777,24179.75834942788,24180.740147591714,24183.49630195393,24189.351598421603
2025-08-11T14:22:00-04:00,24171.75,24177.25,24169.25,24171.25,24175.34441559289,24177.088899618586,24178.742337015778,24181.818258817653,24187.751453110548
2025-08-11T14:24:00-04:00,24171,24191.75,24167.25,24189.5,24173.172207796444,24175.05926641239,24177.02181767894,24180.272793272274,24186.22859373686
2025-08-11T14:26:00-04:00,24189,24190.75,24177,24182.25,24181.086103898222,24179.70617760826,24179.68363597251,24181.51953709052,24186.48053976078
2025-08-11T14:28:00-04:00,24183,24185.25,24169.25,24173.5,24182.043051949113,24180.804118405507,24180.420605756397,24181.731031791875,24186.164127055257
2025-08-11T14:30:00-04:00,24173.75,24186.5,24173,24185.25,24177.896525974556,24178.45274560367,24178.93824892164,24180.590884393034,24185.035570050233
2025-08-11T14:32:00-04:00,24185.25,24189,24179.25,24186,24181.57326298728,24180.718497069112,24180.340860272387,24181.256472336885,24185.05506368203
2025-08-11T14:34:00-04:00,24185.5,24186.25,24173.75,24183.25,24183.53663149364,24182.31233137941,24181.48733576741,24181.86269057447,24185.09551243821
2025-08-11T14:36:00-04:00,24183,24184.5,24178.25,24182.5,24183.26831574682,24182.54155425294,24181.823483374654,24182.025163349546,24184.905011307463
2025-08-11T14:38:00-04:00,24181.75,24189.75,24181.5,24188.75,24182.50915787341,24182.277702835294,24181.80715373584,24181.98585429961,24184.618192097692
2025-08-11T14:40:00-04:00,24188.75,24189.5,24175.75,24177.25,24185.629578936707,24184.435135223528,24183.35000846121,24182.952160828238,24184.9938109979
2025-08-11T14:42:00-04:00,24177.5,24179.5,24170,24171.25,24181.564789468353,24182.123423482353,24182.05000658094,24182.173280709918,24184.312555452638
2025-08-11T14:44:00-04:00,24171.75,24173.75,24141.75,24159.75,24176.657394734175,24178.665615654903,24179.76111622962,24180.6842406085,24183.170504956943
2025-08-11T14:46:00-04:00,24160,24171,24156.5,24166.5,24168.328697367087,24172.443743769934,24175.36975706748,24177.729349093002,24181.064095415404
2025-08-11T14:48:00-04:00,24166.75,24177.5,24163.5,24174.75,24167.539348683546,24170.545829179955,24173.45425549693,24176.160870651143,24179.762814014004
2025-08-11T14:50:00-04:00,24174.75,24181.5,24172.25,24175.25,24171.144674341773,24171.947219453305,24173.742198719836,24175.95931770098,24179.307103649095
2025-08-11T14:52:00-04:00,24174.75,24179.25,24162,24163,24172.94733717089,24172.881479635536,24173.966154559872,24175.786558029413,24178.892821499176
2025-08-11T14:54:00-04:00,24162.25,24174.75,24162,24174,24167.598668585444,24169.33765309036,24171.362564657677,24173.85276402521,24177.379837726523
2025-08-11T14:56:00-04:00,24173.5,24177.25,24170.75,24171.75,24170.549334292722,24170.725102060238,24171.837550289303,24173.802369164467,24177.02712520593
2025-08-11T14:58:00-04:00,24172,24183.25,24172,24177.25,24171.27466714636,24171.15006804016,24171.873650225014,24173.544887855256,24176.57011382357
2025-08-11T15:00:00-04:00,24177.5,24181.25,24172.75,24178.75,24174.38733357318,24173.266712026772,24173.12395017501,24174.109903875935,24176.65464893052
2025-08-11T15:02:00-04:00,24178.75,24178.75,24169.5,24169.5,24176.56866678659,24175.094474684516,24174.374183469452,24174.7727747508,24176.84513539138
2025-08-11T15:04:00-04:00,24169.5,24173.75,24164,24168,24173.034333393294,24173.22964978968,24173.291031587352,24174.01952121497,24176.177395810348
2025-08-11T15:06:00-04:00,24167.75,24173.75,24165,24169,24170.39216669665,24171.403099859785,24172.059691234608,24173.123875327117,24175.4112689185
2025-08-11T15:08:00-04:00,24168.75,24174.25,24166.25,24168.75,24169.571083348324,24170.518733239856,24171.324204293585,24172.49903599467,24174.805699016815
2025-08-11T15:10:00-04:00,24168.5,24174.75,24167.5,24169.25,24169.035541674162,24169.845822159903,24170.696603339456,24171.92774513829,24174.23245365165
2025-08-11T15:12:00-04:00,24168.75,24170.75,24161,24166.5,24168.892770837083,24169.480548106603,24170.26402481958,24171.473781547105,24173.734048774226
2025-08-11T15:14:00-04:00,24166.5,24166.75,24146.75,24147,24167.69638541854,24168.48703207107,24169.427574859674,24170.76324132609,24173.07640797657
2025-08-11T15:16:00-04:00,24147.25,24156.5,24145.25,24154.25,24157.473192709273,24161.408021380714,24164.499224890857,24167.404206850933,24170.728552705972
2025-08-11T15:18:00-04:00,24154.5,24157.75,24147.75,24155.25,24155.986596354636,24159.10534758714,24162.27717491511,24165.56074872937,24169.2532297327
2025-08-11T15:20:00-04:00,24154.5,24165.5,24154,24160,24155.243298177316,24157.57023172476,24160.548913822862,24163.980641768034,24167.912027029728
2025-08-11T15:22:00-04:00,24160.25,24163.25,24156.25,24159,24157.746649088658,24158.463487816505,24160.482488528894,24163.447692944028,24167.215479117935
2025-08-11T15:24:00-04:00,24158.5,24161.75,24152.5,24156,24158.12332454433,24158.475658544336,24160.041935522473,24162.74087966631,24166.423162834486
2025-08-11T15:26:00-04:00,24156,24157.25,24148.5,24151.75,24157.061662272165,24157.650439029556,24159.14372762859,24161.77789685684,24165.475602576804
2025-08-11T15:28:00-04:00,24151.25,24155,24148.5,24153.25,24154.155831136082,24155.516959353037,24157.389565933347,24160.273911591576,24164.18236597891
2025-08-11T15:30:00-04:00,24153.25,24159.5,24142.25,24149.25,24153.702915568043,24154.76130623536,24156.469662392603,24159.270495649922,24163.188514526282
2025-08-11T15:32:00-04:00,24149.75,24151.5,24139,24140.5,24151.72645778402,24153.090870823573,24154.976404083136,24157.91042484279,24161.96683138753
2025-08-11T15:34:00-04:00,24140.5,24147.5,24140,24143.25,24146.113228892013,24148.89391388238,24151.759425397995,24155.42322129382,24160.015301261392
2025-08-11T15:36:00-04:00,24143.25,24145.75,24134.5,24142.25,24144.681614446006,24147.01260925492,24149.868441976218,24153.684189680414,24158.491182964903
2025-08-11T15:38:00-04:00,24142.5,24150.75,24140.25,24140.25,24143.590807223,24145.50840616995,24148.23101042595,24152.086448297498,24157.037439059004
2025-08-11T15:40:00-04:00,24140.25,24146,24135,24139.5,24141.9204036115,24143.7556041133,24146.457452553517,24150.39552711214,24155.51130823546
2025-08-11T15:42:00-04:00,24139.25,24142.25,24135.25,24136.5,24140.58520180575,24142.253736075534,24144.855796430515,24148.803308953266,24154.03300748678
2025-08-11T15:44:00-04:00,24136.5,24142.75,24130.5,24130.75,24138.542600902874,24140.335824050355,24142.99895277929,24147.045693388514,24152.439097715254
2025-08-11T15:46:00-04:00,24130.75,24135.5,24126.75,24127.25,24134.646300451437,24137.140549366904,24140.27696327278,24144.717737190156,24150.467361559324
